field_path,observed_type,policy_class,included_in_primary,included_in_error_ablation,included_in_reasoning_sensitivity,justification,risk_notes
$.steps[].url,str,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
$.summary_info,dict,permanent_exclude,false,false,false,Official outcome/summary semantics are outside every input view.,"May reveal labels, rewards, scores, or evaluator output."
$.summary_info.cum_raw_reward,int,permanent_exclude,false,false,false,Official outcome/summary semantics are outside every input view.,"May reveal labels, rewards, scores, or evaluator output."
$.summary_info.cum_reward,float,permanent_exclude,false,false,false,Official outcome/summary semantics are outside every input view.,"May reveal labels, rewards, scores, or evaluator output."
$.summary_info.cum_reward,int,permanent_exclude,false,false,false,Official outcome/summary semantics are outside every input view.,"May reveal labels, rewards, scores, or evaluator output."
$.summary_info.err_msg,null,permanent_exclude,false,false,false,Official outcome/summary semantics are outside every input view.,"May reveal labels, rewards, scores, or evaluator output."
$.summary_info.n_steps,int,permanent_exclude,false,false,false,Official outcome/summary semantics are outside every input view.,"May reveal labels, rewards, scores, or evaluator output."
$.summary_info.stack_trace,null,permanent_exclude,false,false,false,Official outcome/summary semantics are outside every input view.,"May reveal labels, rewards, scores, or evaluator output."
$.summary_info.terminated,bool,permanent_exclude,false,false,false,Official outcome/summary semantics are outside every input view.,"May reveal labels, rewards, scores, or evaluator output."
$.summary_info.truncated,bool,permanent_exclude,false,false,false,Official outcome/summary semantics are outside every input view.,"May reveal labels, rewards, scores, or evaluator output."
$.summary_info.{*},float,permanent_exclude,false,false,false,Official outcome/summary semantics are outside every input view.,"May reveal labels, rewards, scores, or evaluator output."
$.summary_info.{*},int,permanent_exclude,false,false,false,Official outcome/summary semantics are outside every input view.,"May reveal labels, rewards, scores, or evaluator output."
$.valid,bool,metadata_only,false,false,false,"Retained only for provenance, grouping, or audit.",Identity/format shortcut risk; never serialize into main input.
